Sample	Context	MethLevBinMidPoint	Number	Percentage
WT	CG	0.05	23	3.59937402190923
WT	CG	0.15	24	3.75586854460094
WT	CG	0.25	20	3.12989045383412
WT	CG	0.35	24	3.75586854460094
WT	CG	0.45	27	4.22535211267606
WT	CG	0.55	71	11.1111111111111
WT	CG	0.65	56	8.76369327073552
WT	CG	0.75	82	12.8325508607199
WT	CG	0.85	148	23.1611893583725
WT	CG	0.95	164	25.6651017214398
WT	CHG	0.05	92	22.9426433915212
WT	CHG	0.15	74	18.4538653366584
WT	CHG	0.25	79	19.7007481296758
WT	CHG	0.35	45	11.2219451371571
WT	CHG	0.45	35	8.72817955112219
WT	CHG	0.55	25	6.23441396508728
WT	CHG	0.65	20	4.98753117206983
WT	CHG	0.75	17	4.23940149625935
WT	CHG	0.85	7	1.74563591022444
WT	CHG	0.95	7	1.74563591022444
WT	CHH	0.05	942	72.239263803681
WT	CHH	0.15	163	12.5
WT	CHH	0.25	94	7.20858895705521
WT	CHH	0.35	48	3.68098159509202
WT	CHH	0.45	25	1.91717791411043
WT	CHH	0.55	20	1.53374233128834
WT	CHH	0.65	8	0.613496932515337
WT	CHH	0.75	3	0.230061349693252
WT	CHH	0.85	0	0
WT	CHH	0.95	1	0.0766871165644172
