chr	stt	end	sample_name	C_number	T_number	Methylation_level
chr2	1	10	WT	0	0	0
chr2	11	20	WT	0	0	0
chr2	21	30	WT	0	0	0
chr2	31	40	WT	0	0	0
chr2	41	50	WT	0	0	0
chr2	51	60	WT	0	0	0
chr2	61	70	WT	0	0	0
chr2	71	80	WT	0	0	0
chr2	81	90	WT	0	0	0
chr2	91	100	WT	0	0	0
chr2	101	110	WT	0	0	0
chr2	111	120	WT	0	0	0
chr2	121	130	WT	0	0	0
chr2	131	140	WT	0	0	0
chr2	141	150	WT	0	0	0
chr2	151	160	WT	0	0	0
chr2	161	170	WT	0	0	0
chr2	171	180	WT	0	0	0
chr2	181	190	WT	0	0	0
chr2	191	200	WT	0	0	0
chr2	201	210	WT	0	0	0
chr2	211	220	WT	0	0	0
chr2	221	230	WT	0	0	0
chr2	231	240	WT	0	0	0
chr2	241	250	WT	0	0	0
chr2	251	260	WT	0	0	0
chr2	261	270	WT	0	0	0
chr2	271	280	WT	0	0	0
chr2	281	290	WT	0	0	0
chr2	291	300	WT	0	0	0
chr2	301	310	WT	0	0	0
chr2	311	320	WT	0	0	0
chr2	321	330	WT	0	0	0
chr2	331	340	WT	0	0	0
chr2	341	350	WT	0	0	0
chr2	351	360	WT	0	0	0
chr2	361	370	WT	0	0	0
chr2	371	380	WT	0	0	0
chr2	381	390	WT	0	0	0
chr2	391	400	WT	0	0	0
chr2	401	410	WT	0	0	0
chr2	411	420	WT	0	0	0
chr2	421	430	WT	0	0	0
chr2	431	440	WT	0	0	0
chr2	441	450	WT	0	0	0
chr2	451	460	WT	0	0	0
chr2	461	470	WT	0	0	0
chr2	471	480	WT	0	0	0
chr2	481	490	WT	0	0	0
chr2	491	500	WT	0	0	0
chr2	501	510	WT	0	0	0
chr2	511	520	WT	0	0	0
chr2	521	530	WT	0	0	0
chr2	531	540	WT	0	0	0
chr2	541	550	WT	0	0	0
chr2	551	560	WT	0	0	0
chr2	561	570	WT	0	0	0
chr2	571	580	WT	0	0	0
chr2	581	590	WT	0	0	0
chr2	591	600	WT	0	0	0
chr2	601	610	WT	0	0	0
chr2	611	620	WT	0	0	0
chr2	621	630	WT	0	0	0
chr2	631	640	WT	0	0	0
chr2	641	650	WT	0	0	0
chr2	651	660	WT	0	0	0
chr2	661	670	WT	0	0	0
chr2	671	680	WT	0	0	0
chr2	681	690	WT	0	0	0
chr2	691	700	WT	0	0	0
chr2	701	710	WT	0	0	0
chr2	711	720	WT	0	0	0
chr2	721	730	WT	0	0	0
chr2	731	740	WT	0	0	0
chr2	741	750	WT	0	0	0
chr2	751	760	WT	0	0	0
chr2	761	770	WT	0	0	0
chr2	771	780	WT	0	0	0
chr2	781	790	WT	0	0	0
chr2	791	800	WT	0	0	0
chr2	801	810	WT	0	0	0
chr2	811	820	WT	0	0	0
chr2	821	830	WT	0	0	0
chr2	831	840	WT	0	0	0
chr2	841	850	WT	0	0	0
chr2	851	860	WT	0	0	0
chr2	861	870	WT	0	0	0
chr2	871	880	WT	0	0	0
chr2	881	890	WT	0	0	0
chr2	891	900	WT	0	0	0
chr2	901	910	WT	0	0	0
chr2	911	920	WT	0	0	0
chr2	921	930	WT	0	0	0
chr2	931	940	WT	0	0	0
chr2	941	950	WT	0	0	0
chr2	951	960	WT	0	0	0
chr2	961	970	WT	0	0	0
chr2	971	980	WT	0	0	0
chr2	981	990	WT	0	0	0
chr2	991	1000	WT	0	0	0
chr2	1001	1010	WT	19	131	0.12666666666582224
